x	interp	deriv	integ
1.2	0.362358	-0.932082	0.932039
1.21	0.353019	-0.93562	0.935616
1.22	0.343646	-0.939036	0.939099
1.23	0.334238	-0.942534	0.942489
1.24	0.324796	-0.945828	0.945784
1.25	0.315322	-0.948955	0.948985
1.26	0.305817	-0.952053	0.95209
1.27	0.296281	-0.955133	0.955101
1.28	0.286715	-0.958016	0.958016
1.29	0.277121	-0.960804	0.960835
1.3	0.267499	-0.963567	0.963558
1.31	0.25785	-0.966229	0.966185
1.32	0.248175	-0.968717	0.968715
1.33	0.238476	-0.971103	0.971148
1.34	0.228753	-0.97347	0.973485
1.35	0.219007	-0.975716	0.975723
1.36	0.209239	-0.977867	0.977865
1.37	0.19945	-0.979917	0.979908
1.38	0.189641	-0.981866	0.981854
1.39	0.179813	-0.983718	0.983701
1.4	0.169967	-0.985462	0.98545
1.41	0.160104	-0.987134	0.9871
1.42	0.150225	-0.988603	0.988652
1.43	0.140332	-0.990053	0.990105
1.44	0.130424	-0.991483	0.991458
1.45	0.120503	-0.992714	0.992713
1.46	0.11057	-0.993862	0.993868
1.47	0.100626	-0.994939	0.994924
1.48	0.0906716	-0.995902	0.995881
1.49	0.0807084	-0.996731	0.996738
1.5	0.0707372	-0.997492	0.997495
1.51	0.0607589	-0.998151	0.998153
1.52	0.0507745	-0.998713	0.99871
1.53	0.040785	-0.999165	0.999168
1.54	0.0307915	-0.999527	0.999526
1.55	0.0207948	-0.999789	0.999784
1.56	0.0107961	-0.999939	0.999942
1.57	0.000796327	-0.999999	1
1.58	-0.00920354	-0.999959	0.999958
1.59	-0.0192025	-0.999815	0.999816
1.6	-0.0291995	-0.999571	0.999574
1.61	-0.0391936	-0.999231	0.999232
1.62	-0.0491838	-0.998793	0.99879
1.63	-0.0591691	-0.998245	0.998248
1.64	-0.0691484	-0.997606	0.997606
1.65	-0.0791209	-0.996869	0.996865
1.66	-0.0890854	-0.996017	0.996024
1.67	-0.099041	-0.995092	0.995083
1.68	-0.108987	-0.994093	0.994043
1.69	-0.118922	-0.992835	0.992904
1.7	-0.128844	-0.991667	0.991665
1.71	-0.138755	-0.990396	0.990327
1.72	-0.148651	-0.988849	0.98889
1.73	-0.158532	-0.987309	0.987354
1.74	-0.168397	-0.985715	0.985719
1.75	-0.178246	-0.984031	0.983986
1.76	-0.188077	-0.982162	0.982154
1.77	-0.197889	-0.980221	0.980225
1.78	-0.207681	-0.978153	0.978197
1.79	-0.217452	-0.976066	0.976071
1.8	-0.227202	-0.973884	0.973848
1.81	-0.236929	-0.9715	0.971527
1.82	-0.246632	-0.969117	0.969109
1.83	-0.256311	-0.966634	0.966594
1.84	-0.265964	-0.963949	0.963983
1.85	-0.27559	-0.96127	0.961275
1.86	-0.285189	-0.95847	0.958471
1.87	-0.294759	-0.95555	0.955572
1.88	-0.3043	-0.952629	0.952576
1.89	-0.313811	-0.949534	0.949486
1.9	-0.32329	-0.946237	0.9463
1.91	-0.332736	-0.94302	0.94302
1.92	-0.34215	-0.939683	0.939646
1.93	-0.351529	-0.936149	0.936177
1.94	-0.360873	-0.932621	0.932615
1.95	-0.370181	-0.928966	0.92896
1.96	-0.379452	-0.925216	0.925212
1.97	-0.388685	-0.92137	0.921371
1.98	-0.397879	-0.917404	0.917438
1.99	-0.407033	-0.913416	0.913413
2	-0.416147	-0.909333	0.909297
2.01	-0.425219	-0.905052	0.905091
2.02	-0.434248	-0.900758	0.900793
2.03	-0.443234	-0.896414	0.896406
2.04	-0.452176	-0.891984	0.891929
2.05	-0.461073	-0.887349	0.887362
2.06	-0.469923	-0.88272	0.882707
2.07	-0.478727	-0.877969	0.877964
2.08	-0.487482	-0.873103	0.873133
2.09	-0.496189	-0.868221	0.868215
2.1	-0.504846	-0.863215	0.863209
2.11	-0.513453	-0.85812	0.858118
2.12	-0.522008	-0.852907	0.852941
2.13	-0.530511	-0.847653	0.847678
2.14	-0.538961	-0.842382	0.84233
2.15	-0.547358	-0.836921	0.836899
2.16	-0.555699	-0.831336	0.831383
2.17	-0.563985	-0.825836	0.825785
2.18	-0.572215	-0.82012	0.820104
2.19	-0.580387	-0.814285	0.814341
2.2	-0.588501	-0.808541	0.808496
2.21	-0.596557	-0.802552	0.802571
2.22	-0.604552	-0.796553	0.796565
2.23	-0.612488	-0.790538	0.79048
2.24	-0.620362	-0.784296	0.784316
2.25	-0.628174	-0.778079	0.778073
2.26	-0.635923	-0.771688	0.771753
2.27	-0.643608	-0.765369	0.765355
2.28	-0.65123	-0.758937	0.758881
2.29	-0.658786	-0.752285	0.752331
2.3	-0.666276	-0.745724	0.745705
2.31	-0.6737	-0.739018	0.739005
2.32	-0.681056	-0.732205	0.732231
2.33	-0.688344	-0.725361	0.725384
2.34	-0.695563	-0.71845	0.718465
2.35	-0.702713	-0.711537	0.711473
2.36	-0.709793	-0.7044	0.704411
2.37	-0.716801	-0.697261	0.697278
2.38	-0.723738	-0.690054	0.690075
2.39	-0.730602	-0.682822	0.682803
2.4	-0.737394	-0.675457	0.675463
2.41	-0.744111	-0.668051	0.668056
