0.1	4.97205e+06	1.01786e+06	10089.2	
1.12241	4.6677e+06	1.20851e+06	123785	
3.36681	3.90573e+06	1.64965e+06	444623	
5.93706	2.98643e+06	2.08549e+06	928078	
8.5378	2.16582e+06	2.32734e+06	1.50684e+06	
11.7118	1.43312e+06	2.31693e+06	2.24995e+06	
15.2724	928750	2.04276e+06	3.02849e+06	
19.0423	630500	1.6466e+06	3.7229e+06	
23.5928	440419	1.19431e+06	4.36527e+06	
29.7623	317190	731542	4.95127e+06	
38.397	245365	346712	5.40792e+06	
51.165	208576	96599.1	5.69482e+06	
73.2772	196260	6074.91	5.79766e+06	
100	194923	-4834.96	5.80991e+06	
