x	res0	res1	res2	res3	func
0.096	0.107993	0.107993	0.107993	0.107993	0.107993
0.097	0.10911	0.10911	0.109111	0.10911	0.10911
0.098	0.110228	0.110228	0.110228	0.110228	0.110228
0.099	0.111346	0.111346	0.111346	0.111346	0.111346
0.1	0.112463	0.112463	0.112463	0.112463	0.112463
0.101	0.11358	0.11358	0.11358	0.11358	0.11358
0.102	0.114697	0.114697	0.114697	0.114697	0.114697
0.103	0.115813	0.115813	0.115813	0.115813	0.115813
0.104	0.11693	0.11693	0.11693	0.11693	0.11693
0.105	0.118046	0.118046	0.118046	0.118046	0.118046
0.106	0.119162	0.119162	0.119162	0.119162	0.119162
0.107	0.120277	0.120277	0.120277	0.120277	0.120277
0.108	0.121393	0.121393	0.121393	0.121393	0.121393
0.109	0.122508	0.122508	0.122508	0.122508	0.122508
0.11	0.123623	0.123623	0.123623	0.123623	0.123623
0.111	0.124738	0.124738	0.124738	0.124738	0.124738
0.112	0.125852	0.125852	0.125852	0.125852	0.125852
0.113	0.126966	0.126966	0.126966	0.126966	0.126966
0.114	0.12808	0.12808	0.12808	0.12808	0.12808
0.115	0.129194	0.129194	0.129194	0.129194	0.129194
0.116	0.130307	0.130307	0.130307	0.130307	0.130307
0.117	0.13142	0.13142	0.131421	0.13142	0.13142
0.118	0.132533	0.132533	0.132533	0.132533	0.132533
0.119	0.133646	0.133646	0.133646	0.133646	0.133646
0.12	0.134758	0.134758	0.134758	0.134758	0.134758
0.121	0.13587	0.13587	0.135871	0.13587	0.13587
0.122	0.136982	0.136982	0.136982	0.136982	0.136982
0.123	0.138094	0.138094	0.138094	0.138094	0.138094
0.124	0.139205	0.139205	0.139205	0.139205	0.139205
0.125	0.140316	0.140316	0.140316	0.140316	0.140316
0.126	0.141427	0.141427	0.141427	0.141427	0.141427
0.127	0.142537	0.142537	0.142538	0.142537	0.142537
0.128	0.143648	0.143648	0.143648	0.143648	0.143648
0.129	0.144758	0.144758	0.144758	0.144758	0.144758
0.13	0.145867	0.145867	0.145867	0.145867	0.145867
0.131	0.146976	0.146976	0.146977	0.146976	0.146976
0.132	0.148085	0.148085	0.148086	0.148085	0.148085
0.133	0.149194	0.149194	0.149194	0.149194	0.149194
0.134	0.150303	0.150303	0.150303	0.150303	0.150303
0.135	0.151411	0.151411	0.151411	0.151411	0.151411
0.136	0.152519	0.152519	0.152519	0.152519	0.152519
0.137	0.153626	0.153626	0.153626	0.153626	0.153626
0.138	0.154733	0.154733	0.154734	0.154733	0.154733
0.139	0.15584	0.15584	0.155841	0.15584	0.15584
0.14	0.156947	0.156947	0.156947	0.156947	0.156947
0.141	0.158053	0.158053	0.158054	0.158053	0.158053
0.142	0.159159	0.159159	0.15916	0.159159	0.159159
0.143	0.160265	0.160265	0.160265	0.160265	0.160265
0.144	0.16137	0.16137	0.161371	0.16137	0.16137
0.145	0.162476	0.162476	0.162476	0.162476	0.162476
0.146	0.16358	0.16358	0.163581	0.16358	0.16358
0.147	0.164685	0.164685	0.164685	0.164685	0.164685
0.148	0.165789	0.165789	0.165789	0.165789	0.165789
0.149	0.166893	0.166893	0.166893	0.166893	0.166893
0.15	0.167996	0.167996	0.167996	0.167996	0.167996
0.151	0.169099	0.169099	0.169099	0.169099	0.169099
0.152	0.170202	0.170202	0.170202	0.170202	0.170202
0.153	0.171304	0.171304	0.171305	0.171304	0.171304
0.154	0.172406	0.172406	0.172407	0.172406	0.172406
0.155	0.173508	0.173508	0.173509	0.173508	0.173508
0.156	0.17461	0.17461	0.17461	0.17461	0.17461
0.157	0.175711	0.175711	0.175711	0.175711	0.175711
0.158	0.176811	0.176811	0.176812	0.176811	0.176811
0.159	0.177912	0.177912	0.177912	0.177912	0.177912
0.16	0.179012	0.179012	0.179012	0.179012	0.179012
0.161	0.180111	0.180111	0.180112	0.180111	0.180111
0.162	0.181211	0.181211	0.181211	0.181211	0.181211
0.163	0.18231	0.18231	0.18231	0.18231	0.18231
0.164	0.183408	0.183408	0.183409	0.183408	0.183408
0.165	0.184507	0.184507	0.184507	0.184507	0.184507
0.166	0.185605	0.185605	0.185605	0.185605	0.185605
0.167	0.186702	0.186702	0.186703	0.186702	0.186702
0.168	0.187799	0.187799	0.1878	0.187799	0.187799
0.169	0.188896	0.188896	0.188897	0.188896	0.188896
0.17	0.189992	0.189992	0.189993	0.189992	0.189992
0.171	0.191089	0.191089	0.191089	0.191089	0.191089
0.172	0.192184	0.192184	0.192185	0.192184	0.192184
0.173	0.193279	0.193279	0.19328	0.193279	0.193279
0.174	0.194374	0.194374	0.194375	0.194374	0.194374
0.175	0.195469	0.195469	0.19547	0.195469	0.195469
0.176	0.196563	0.196563	0.196564	0.196563	0.196563
0.177	0.197657	0.197657	0.197658	0.197657	0.197657
0.178	0.19875	0.19875	0.198751	0.19875	0.19875
0.179	0.199843	0.199843	0.199844	0.199843	0.199843
0.18	0.200936	0.200936	0.200937	0.200936	0.200936
0.181	0.202028	0.202028	0.202029	0.202028	0.202028
0.182	0.20312	0.20312	0.203121	0.20312	0.20312
0.183	0.204211	0.204211	0.204212	0.204211	0.204211
0.184	0.205302	0.205302	0.205303	0.205302	0.205302
0.185	0.206393	0.206393	0.206394	0.206393	0.206393
0.186	0.207483	0.207483	0.207484	0.207483	0.207483
0.187	0.208573	0.208573	0.208574	0.208573	0.208573
0.188	0.209662	0.209662	0.209663	0.209662	0.209662
0.189	0.210751	0.210751	0.210752	0.210751	0.210751
0.19	0.21184	0.21184	0.211841	0.21184	0.21184
0.191	0.212928	0.212928	0.212929	0.212928	0.212928
0.192	0.214016	0.214016	0.214017	0.214016	0.214016
0.193	0.215103	0.215103	0.215104	0.215103	0.215103
0.194	0.21619	0.21619	0.216191	0.21619	0.21619
0.195	0.217277	0.217277	0.217278	0.217277	0.217277
0.196	0.218363	0.218363	0.218364	0.218363	0.218363
0.197	0.219448	0.219448	0.21945	0.219448	0.219448
0.198	0.220533	0.220533	0.220535	0.220533	0.220533
0.199	0.221618	0.221618	0.22162	0.221618	0.221618
