x	res0	res1	res2	res3	func
1.1	0.719622	0.719622	0.719622	0.719622	0.719622
1.11	0.714898	0.714898	0.714898	0.714898	0.714898
1.12	0.710146	0.710146	0.710146	0.710146	0.710146
1.13	0.705365	0.705365	0.705365	0.705365	0.705365
1.14	0.700556	0.700556	0.700556	0.700556	0.700556
1.15	0.69572	0.69572	0.69572	0.69572	0.69572
1.16	0.690856	0.690856	0.690856	0.690856	0.690856
1.17	0.685965	0.685965	0.685965	0.685965	0.685965
1.18	0.681047	0.681047	0.681047	0.681047	0.681047
1.19	0.676103	0.676103	0.676103	0.676103	0.676103
1.2	0.671133	0.671133	0.671133	0.671133	0.671133
1.21	0.666137	0.666137	0.666137	0.666137	0.666137
1.22	0.661116	0.661116	0.661116	0.661116	0.661116
1.23	0.656071	0.656071	0.656071	0.656071	0.656071
1.24	0.651	0.651	0.651	0.651	0.651
1.25	0.645906	0.645906	0.645906	0.645906	0.645906
1.26	0.640788	0.640788	0.640788	0.640788	0.640788
1.27	0.635647	0.635647	0.635647	0.635647	0.635647
1.28	0.630482	0.630482	0.630482	0.630482	0.630482
1.29	0.625295	0.625295	0.625295	0.625295	0.625295
1.3	0.620086	0.620086	0.620086	0.620086	0.620086
1.31	0.614855	0.614855	0.614855	0.614855	0.614855
1.32	0.609602	0.609602	0.609602	0.609602	0.609602
1.33	0.604329	0.604329	0.604329	0.604329	0.604329
1.34	0.599034	0.599034	0.599034	0.599034	0.599034
1.35	0.59372	0.59372	0.59372	0.59372	0.59372
1.36	0.588385	0.588385	0.588385	0.588385	0.588385
1.37	0.583031	0.583031	0.583031	0.583031	0.583031
1.38	0.577658	0.577658	0.577658	0.577658	0.577658
1.39	0.572266	0.572266	0.572266	0.572266	0.572266
1.4	0.566855	0.566855	0.566855	0.566855	0.566855
1.41	0.561427	0.561427	0.561427	0.561427	0.561427
1.42	0.555981	0.555981	0.555981	0.555981	0.555981
1.43	0.550518	0.550518	0.550518	0.550518	0.550518
1.44	0.545038	0.545038	0.545038	0.545038	0.545038
1.45	0.539541	0.539541	0.539541	0.539541	0.539541
1.46	0.534029	0.534029	0.534029	0.534029	0.534029
1.47	0.528501	0.528501	0.528501	0.528501	0.528501
1.48	0.522958	0.522958	0.522958	0.522958	0.522958
1.49	0.5174	0.5174	0.5174	0.5174	0.5174
1.5	0.511828	0.511828	0.511828	0.511828	0.511828
1.51	0.506241	0.506241	0.506241	0.506241	0.506241
1.52	0.500642	0.500642	0.500642	0.500642	0.500642
1.53	0.495028	0.495028	0.495028	0.495028	0.495028
1.54	0.489403	0.489403	0.489403	0.489403	0.489403
1.55	0.483764	0.483764	0.483764	0.483764	0.483764
1.56	0.478114	0.478114	0.478114	0.478114	0.478114
1.57	0.472453	0.472453	0.472453	0.472453	0.472453
1.58	0.46678	0.46678	0.46678	0.46678	0.46678
1.59	0.461096	0.461096	0.461096	0.461096	0.461096
1.6	0.455402	0.455402	0.455402	0.455402	0.455402
1.61	0.449698	0.449698	0.449698	0.449698	0.449698
1.62	0.443985	0.443985	0.443985	0.443985	0.443985
1.63	0.438262	0.438262	0.438262	0.438262	0.438262
1.64	0.432531	0.432531	0.432531	0.432531	0.432531
1.65	0.426792	0.426792	0.426792	0.426792	0.426792
1.66	0.421045	0.421045	0.421045	0.421045	0.421045
1.67	0.41529	0.41529	0.41529	0.41529	0.41529
1.68	0.409528	0.409528	0.409528	0.409528	0.409528
1.69	0.40376	0.40376	0.40376	0.40376	0.40376
1.7	0.397985	0.397985	0.397985	0.397985	0.397985
1.71	0.392204	0.392204	0.392204	0.392204	0.392204
1.72	0.386418	0.386418	0.386418	0.386418	0.386418
1.73	0.380628	0.380628	0.380628	0.380628	0.380628
1.74	0.374832	0.374832	0.374832	0.374832	0.374832
1.75	0.369033	0.369033	0.369033	0.369033	0.369033
1.76	0.363229	0.363229	0.363229	0.363229	0.363229
1.77	0.357422	0.357422	0.357422	0.357422	0.357422
1.78	0.351613	0.351613	0.351613	0.351613	0.351613
1.79	0.345801	0.345801	0.345801	0.345801	0.345801
