x	res0	res1	res2	res3	func
0	7.62971e-17	6.92441e-17	-3.99075e-17	7.69969e-11	0
0.01	1.24999e-05	1.24999e-05	1.24999e-05	1.25e-05	1.24999e-05
0.02	4.99983e-05	4.99983e-05	4.99983e-05	4.99984e-05	4.99983e-05
0.03	0.000112492	0.000112492	0.000112492	0.000112492	0.000112492
0.04	0.000199973	0.000199973	0.000199973	0.000199973	0.000199973
0.05	0.000312435	0.000312435	0.000312435	0.000312435	0.000312435
0.06	0.000449865	0.000449865	0.000449865	0.000449865	0.000449865
0.07	0.00061225	0.00061225	0.00061225	0.00061225	0.00061225
0.08	0.000799573	0.000799573	0.000799573	0.000799573	0.000799573
0.09	0.00101182	0.00101182	0.00101182	0.00101182	0.00101182
0.1	0.00124896	0.00124896	0.00124896	0.00124896	0.00124896
0.11	0.00151098	0.00151098	0.00151098	0.00151098	0.00151098
0.12	0.00179784	0.00179784	0.00179784	0.00179784	0.00179784
0.13	0.00210953	0.00210953	0.00210953	0.00210953	0.00210953
0.14	0.002446	0.002446	0.002446	0.002446	0.002446
0.15	0.00280723	0.00280723	0.00280723	0.00280723	0.00280723
0.16	0.00319318	0.00319318	0.00319318	0.00319318	0.00319318
0.17	0.00360381	0.00360381	0.00360381	0.00360381	0.00360381
0.18	0.00403908	0.00403908	0.00403908	0.00403908	0.00403908
0.19	0.00449894	0.00449894	0.00449894	0.00449894	0.00449894
0.2	0.00498335	0.00498335	0.00498335	0.00498335	0.00498335
0.21	0.00549227	0.00549227	0.00549227	0.00549227	0.00549227
0.22	0.00602564	0.00602564	0.00602564	0.00602564	0.00602564
0.23	0.0065834	0.0065834	0.0065834	0.0065834	0.0065834
0.24	0.0071655	0.0071655	0.0071655	0.0071655	0.0071655
0.25	0.00777189	0.00777189	0.00777189	0.00777189	0.00777189
0.26	0.0084025	0.0084025	0.0084025	0.0084025	0.0084025
0.27	0.00905727	0.00905727	0.00905727	0.00905727	0.00905727
0.28	0.00973613	0.00973613	0.00973613	0.00973613	0.00973613
0.29	0.010439	0.010439	0.010439	0.010439	0.010439
0.3	0.0111659	0.0111659	0.0111659	0.0111659	0.0111659
0.31	0.0119166	0.0119166	0.0119166	0.0119166	0.0119166
0.32	0.0126911	0.0126911	0.0126911	0.0126911	0.0126911
0.33	0.0134894	0.0134894	0.0134894	0.0134894	0.0134894
0.34	0.0143113	0.0143113	0.0143113	0.0143113	0.0143113
0.35	0.0151568	0.0151568	0.0151568	0.0151568	0.0151568
0.36	0.0160257	0.0160257	0.0160257	0.0160257	0.0160257
0.37	0.0169181	0.0169181	0.0169181	0.0169181	0.0169181
0.38	0.0178338	0.0178338	0.0178338	0.0178338	0.0178338
0.39	0.0187727	0.0187727	0.0187727	0.0187727	0.0187727
0.4	0.0197347	0.0197347	0.0197347	0.0197347	0.0197347
0.41	0.0207197	0.0207197	0.0207197	0.0207197	0.0207197
0.42	0.0217276	0.0217276	0.0217276	0.0217276	0.0217276
0.43	0.0227584	0.0227584	0.0227584	0.0227584	0.0227584
0.44	0.0238119	0.0238119	0.0238119	0.0238119	0.0238119
0.45	0.024888	0.024888	0.024888	0.024888	0.024888
0.46	0.0259867	0.0259867	0.0259867	0.0259867	0.0259867
0.47	0.0271077	0.0271077	0.0271077	0.0271077	0.0271077
0.48	0.028251	0.028251	0.028251	0.028251	0.028251
0.49	0.0294165	0.0294165	0.0294165	0.0294165	0.0294165
0.5	0.030604	0.030604	0.030604	0.030604	0.030604
0.51	0.0318135	0.0318135	0.0318135	0.0318135	0.0318135
0.52	0.0330448	0.0330448	0.0330448	0.0330448	0.0330448
0.53	0.0342978	0.0342978	0.0342978	0.0342978	0.0342978
0.54	0.0355723	0.0355723	0.0355723	0.0355723	0.0355723
0.55	0.0368683	0.0368683	0.0368683	0.0368683	0.0368683
0.56	0.0381856	0.0381856	0.0381856	0.0381856	0.0381856
0.57	0.039524	0.039524	0.039524	0.039524	0.039524
0.58	0.0408835	0.0408835	0.0408835	0.0408835	0.0408835
0.59	0.0422639	0.0422639	0.0422639	0.0422639	0.0422639
0.6	0.0436651	0.0436651	0.0436651	0.0436651	0.0436651
0.61	0.0450869	0.0450869	0.0450869	0.0450869	0.0450869
0.62	0.0465292	0.0465292	0.0465292	0.0465292	0.0465292
0.63	0.0479918	0.0479918	0.0479918	0.0479918	0.0479918
0.64	0.0494746	0.0494746	0.0494746	0.0494746	0.0494746
0.65	0.0509774	0.0509774	0.0509774	0.0509774	0.0509774
0.66	0.0525002	0.0525002	0.0525002	0.0525002	0.0525002
0.67	0.0540427	0.0540427	0.0540427	0.0540427	0.0540427
0.68	0.0556047	0.0556047	0.0556047	0.0556047	0.0556047
0.69	0.0571862	0.0571862	0.0571862	0.0571862	0.0571862
0.7	0.0587869	0.0587869	0.0587869	0.0587869	0.0587869
0.71	0.0604068	0.0604068	0.0604068	0.0604068	0.0604068
0.72	0.0620456	0.0620456	0.0620456	0.0620456	0.0620456
0.73	0.0637032	0.0637032	0.0637032	0.0637032	0.0637032
0.74	0.0653794	0.0653794	0.0653794	0.0653794	0.0653794
0.75	0.067074	0.067074	0.067074	0.067074	0.067074
0.76	0.0687869	0.0687869	0.0687869	0.0687869	0.0687869
