x	math	gsl	my
3.4071	1.09993	1.09993	1.09993
3.4081	1.101	1.101	1.101
3.4091	1.10208	1.10208	1.10207
3.4101	1.10315	1.10315	1.10315
3.4111	1.10422	1.10422	1.10422
3.4121	1.10529	1.10529	1.10529
3.4131	1.10637	1.10637	1.10637
3.4141	1.10744	1.10744	1.10744
3.4151	1.10852	1.10852	1.10852
3.4161	1.10959	1.10959	1.10959
3.4171	1.11067	1.11067	1.11067
3.4181	1.11174	1.11174	1.11174
3.4191	1.11282	1.11282	1.11282
3.4201	1.1139	1.1139	1.11389
3.4211	1.11497	1.11497	1.11497
3.4221	1.11605	1.11605	1.11605
3.4231	1.11713	1.11713	1.11712
3.4241	1.1182	1.1182	1.1182
3.4251	1.11928	1.11928	1.11928
3.4261	1.12036	1.12036	1.12036
3.4271	1.12144	1.12144	1.12144
3.4281	1.12252	1.12252	1.12252
3.4291	1.1236	1.1236	1.1236
3.4301	1.12468	1.12468	1.12467
3.4311	1.12576	1.12576	1.12575
3.4321	1.12684	1.12684	1.12684
3.4331	1.12792	1.12792	1.12792
3.4341	1.129	1.129	1.129
3.4351	1.13008	1.13008	1.13008
3.4361	1.13116	1.13116	1.13116
3.4371	1.13224	1.13224	1.13224
3.4381	1.13333	1.13333	1.13332
3.4391	1.13441	1.13441	1.13441
3.4401	1.13549	1.13549	1.13549
3.4411	1.13657	1.13657	1.13657
3.4421	1.13766	1.13766	1.13766
3.4431	1.13874	1.13874	1.13874
3.4441	1.13983	1.13983	1.13983
3.4451	1.14091	1.14091	1.14091
3.4461	1.142	1.142	1.14199
3.4471	1.14308	1.14308	1.14308
3.4481	1.14417	1.14417	1.14417
3.4491	1.14525	1.14525	1.14525
3.4501	1.14634	1.14634	1.14634
3.4511	1.14743	1.14743	1.14743
3.4521	1.14851	1.14851	1.14851
3.4531	1.1496	1.1496	1.1496
3.4541	1.15069	1.15069	1.15069
3.4551	1.15178	1.15178	1.15178
3.4561	1.15286	1.15286	1.15286
3.4571	1.15395	1.15395	1.15395
3.4581	1.15504	1.15504	1.15504
3.4591	1.15613	1.15613	1.15613
3.4601	1.15722	1.15722	1.15722
3.4611	1.15831	1.15831	1.15831
3.4621	1.1594	1.1594	1.1594
3.4631	1.16049	1.16049	1.16049
3.4641	1.16158	1.16158	1.16158
3.4651	1.16268	1.16268	1.16267
3.4661	1.16377	1.16377	1.16377
3.4671	1.16486	1.16486	1.16486
3.4681	1.16595	1.16595	1.16595
3.4691	1.16704	1.16704	1.16704
3.4701	1.16814	1.16814	1.16814
3.4711	1.16923	1.16923	1.16923
3.4721	1.17032	1.17032	1.17032
3.4731	1.17142	1.17142	1.17142
3.4741	1.17251	1.17251	1.17251
3.4751	1.17361	1.17361	1.17361
3.4761	1.1747	1.1747	1.1747
3.4771	1.1758	1.1758	1.1758
3.4781	1.17689	1.17689	1.17689
3.4791	1.17799	1.17799	1.17799
3.4801	1.17909	1.17909	1.17909
3.4811	1.18018	1.18018	1.18018
3.4821	1.18128	1.18128	1.18128
3.4831	1.18238	1.18238	1.18238
3.4841	1.18348	1.18348	1.18347
3.4851	1.18457	1.18457	1.18457
3.4861	1.18567	1.18567	1.18567
3.4871	1.18677	1.18677	1.18677
3.4881	1.18787	1.18787	1.18787
3.4891	1.18897	1.18897	1.18897
3.4901	1.19007	1.19007	1.19007
3.4911	1.19117	1.19117	1.19117
3.4921	1.19227	1.19227	1.19227
3.4931	1.19337	1.19337	1.19337
3.4941	1.19447	1.19447	1.19447
3.4951	1.19557	1.19557	1.19557
3.4961	1.19667	1.19667	1.19667
3.4971	1.19778	1.19778	1.19777
3.4981	1.19888	1.19888	1.19888
3.4991	1.19998	1.19998	1.19998
3.5001	1.20108	1.20108	1.20108
3.5011	1.20219	1.20219	1.20219
3.5021	1.20329	1.20329	1.20329
3.5031	1.20439	1.20439	1.20439
3.5041	1.2055	1.2055	1.2055
3.5051	1.2066	1.2066	1.2066
3.5061	1.20771	1.20771	1.20771
3.5071	1.20881	1.20881	1.20881
3.5081	1.20992	1.20992	1.20992
3.5091	1.21103	1.21103	1.21102
3.5101	1.21213	1.21213	1.21213
3.5111	1.21324	1.21324	1.21324
3.5121	1.21435	1.21435	1.21434
3.5131	1.21545	1.21545	1.21545
3.5141	1.21656	1.21656	1.21656
3.5151	1.21767	1.21767	1.21767
3.5161	1.21878	1.21878	1.21878
3.5171	1.21989	1.21989	1.21988
3.5181	1.22099	1.22099	1.22099
3.5191	1.2221	1.2221	1.2221
3.5201	1.22321	1.22321	1.22321
3.5211	1.22432	1.22432	1.22432
3.5221	1.22543	1.22543	1.22543
3.5231	1.22654	1.22654	1.22654
3.5241	1.22766	1.22766	1.22765
3.5251	1.22877	1.22877	1.22877
3.5261	1.22988	1.22988	1.22988
3.5271	1.23099	1.23099	1.23099
3.5281	1.2321	1.2321	1.2321
3.5291	1.23321	1.23321	1.23321
3.5301	1.23433	1.23433	1.23433
3.5311	1.23544	1.23544	1.23544
3.5321	1.23655	1.23655	1.23655
3.5331	1.23767	1.23767	1.23767
3.5341	1.23878	1.23878	1.23878
3.5351	1.2399	1.2399	1.2399
3.5361	1.24101	1.24101	1.24101
3.5371	1.24213	1.24213	1.24213
3.5381	1.24324	1.24324	1.24324
3.5391	1.24436	1.24436	1.24436
3.5401	1.24547	1.24547	1.24547
3.5411	1.24659	1.24659	1.24659
3.5421	1.24771	1.24771	1.24771
3.5431	1.24883	1.24883	1.24882
3.5441	1.24994	1.24994	1.24994
3.5451	1.25106	1.25106	1.25106
3.5461	1.25218	1.25218	1.25218
3.5471	1.2533	1.2533	1.2533
3.5481	1.25442	1.25442	1.25441
3.5491	1.25553	1.25553	1.25553
3.5501	1.25665	1.25665	1.25665
3.5511	1.25777	1.25777	1.25777
3.5521	1.25889	1.25889	1.25889
3.5531	1.26001	1.26001	1.26001
3.5541	1.26113	1.26113	1.26113
3.5551	1.26226	1.26226	1.26225
3.5561	1.26338	1.26338	1.26338
3.5571	1.2645	1.2645	1.2645
3.5581	1.26562	1.26562	1.26562
3.5591	1.26674	1.26674	1.26674
3.5601	1.26787	1.26787	1.26786
3.5611	1.26899	1.26899	1.26899
3.5621	1.27011	1.27011	1.27011
3.5631	1.27124	1.27124	1.27123
3.5641	1.27236	1.27236	1.27236
3.5651	1.27348	1.27348	1.27348
3.5661	1.27461	1.27461	1.27461
3.5671	1.27573	1.27573	1.27573
3.5681	1.27686	1.27686	1.27686
3.5691	1.27798	1.27798	1.27798
3.5701	1.27911	1.27911	1.27911
3.5711	1.28024	1.28024	1.28024
3.5721	1.28136	1.28136	1.28136
3.5731	1.28249	1.28249	1.28249
3.5741	1.28362	1.28362	1.28362
3.5751	1.28474	1.28474	1.28474
3.5761	1.28587	1.28587	1.28587
3.5771	1.287	1.287	1.287
3.5781	1.28813	1.28813	1.28813
3.5791	1.28926	1.28926	1.28926
3.5801	1.29039	1.29039	1.29039
3.5811	1.29152	1.29152	1.29152
3.5821	1.29265	1.29265	1.29265
3.5831	1.29378	1.29378	1.29378
3.5841	1.29491	1.29491	1.29491
3.5851	1.29604	1.29604	1.29604
3.5861	1.29717	1.29717	1.29717
3.5871	1.2983	1.2983	1.2983
3.5881	1.29943	1.29943	1.29943
3.5891	1.30056	1.30056	1.30056
3.5901	1.3017	1.3017	1.30169
3.5911	1.30283	1.30283	1.30283
3.5921	1.30396	1.30396	1.30396
3.5931	1.30509	1.30509	1.30509
3.5941	1.30623	1.30623	1.30623
3.5951	1.30736	1.30736	1.30736
3.5961	1.3085	1.3085	1.3085
3.5971	1.30963	1.30963	1.30963
3.5981	1.31077	1.31077	1.31077
3.5991	1.3119	1.3119	1.3119
3.6001	1.31304	1.31304	1.31304
3.6011	1.31417	1.31417	1.31417
3.6021	1.31531	1.31531	1.31531
3.6031	1.31645	1.31645	1.31644
3.6041	1.31758	1.31758	1.31758
3.6051	1.31872	1.31872	1.31872
3.6061	1.31986	1.31986	1.31986
3.6071	1.32099	1.32099	1.32099
3.6081	1.32213	1.32213	1.32213
3.6091	1.32327	1.32327	1.32327
3.6101	1.32441	1.32441	1.32441
3.6111	1.32555	1.32555	1.32555
3.6121	1.32669	1.32669	1.32669
3.6131	1.32783	1.32783	1.32783
3.6141	1.32897	1.32897	1.32897
3.6151	1.33011	1.33011	1.33011
3.6161	1.33125	1.33125	1.33125
3.6171	1.33239	1.33239	1.33239
3.6181	1.33353	1.33353	1.33353
3.6191	1.33467	1.33467	1.33467
3.6201	1.33581	1.33581	1.33581
3.6211	1.33696	1.33696	1.33696
3.6221	1.3381	1.3381	1.3381
3.6231	1.33924	1.33924	1.33924
3.6241	1.34039	1.34039	1.34038
3.6251	1.34153	1.34153	1.34153
3.6261	1.34267	1.34267	1.34267
3.6271	1.34382	1.34382	1.34382
3.6281	1.34496	1.34496	1.34496
3.6291	1.34611	1.34611	1.34611
3.6301	1.34725	1.34725	1.34725
3.6311	1.3484	1.3484	1.3484
3.6321	1.34954	1.34954	1.34954
3.6331	1.35069	1.35069	1.35069
3.6341	1.35183	1.35183	1.35183
3.6351	1.35298	1.35298	1.35298
3.6361	1.35413	1.35413	1.35413
3.6371	1.35528	1.35528	1.35527
3.6381	1.35642	1.35642	1.35642
3.6391	1.35757	1.35757	1.35757
3.6401	1.35872	1.35872	1.35872
3.6411	1.35987	1.35987	1.35987
3.6421	1.36102	1.36102	1.36102
3.6431	1.36217	1.36217	1.36217
3.6441	1.36332	1.36332	1.36331
3.6451	1.36447	1.36447	1.36446
3.6461	1.36562	1.36562	1.36561
3.6471	1.36677	1.36677	1.36677
3.6481	1.36792	1.36792	1.36792
3.6491	1.36907	1.36907	1.36907
3.6501	1.37022	1.37022	1.37022
3.6511	1.37137	1.37137	1.37137
3.6521	1.37252	1.37252	1.37252
3.6531	1.37368	1.37368	1.37367
3.6541	1.37483	1.37483	1.37483
3.6551	1.37598	1.37598	1.37598
3.6561	1.37713	1.37713	1.37713
3.6571	1.37829	1.37829	1.37829
3.6581	1.37944	1.37944	1.37944
3.6591	1.3806	1.3806	1.3806
3.6601	1.38175	1.38175	1.38175
3.6611	1.38291	1.38291	1.3829
3.6621	1.38406	1.38406	1.38406
3.6631	1.38522	1.38522	1.38522
3.6641	1.38637	1.38637	1.38637
3.6651	1.38753	1.38753	1.38753
3.6661	1.38868	1.38868	1.38868
3.6671	1.38984	1.38984	1.38984
3.6681	1.391	1.391	1.391
3.6691	1.39216	1.39216	1.39215
3.6701	1.39331	1.39331	1.39331
3.6711	1.39447	1.39447	1.39447
3.6721	1.39563	1.39563	1.39563
3.6731	1.39679	1.39679	1.39679
3.6741	1.39795	1.39795	1.39795
3.6751	1.39911	1.39911	1.39911
3.6761	1.40027	1.40027	1.40027
3.6771	1.40143	1.40143	1.40143
3.6781	1.40259	1.40259	1.40259
3.6791	1.40375	1.40375	1.40375
3.6801	1.40491	1.40491	1.40491
3.6811	1.40607	1.40607	1.40607
3.6821	1.40723	1.40723	1.40723
3.6831	1.40839	1.40839	1.40839
3.6841	1.40955	1.40955	1.40955
3.6851	1.41072	1.41072	1.41072
3.6861	1.41188	1.41188	1.41188
3.6871	1.41304	1.41304	1.41304
3.6881	1.41421	1.41421	1.4142
3.6891	1.41537	1.41537	1.41537
3.6901	1.41653	1.41653	1.41653
3.6911	1.4177	1.4177	1.4177
3.6921	1.41886	1.41886	1.41886
3.6931	1.42003	1.42003	1.42003
3.6941	1.42119	1.42119	1.42119
3.6951	1.42236	1.42236	1.42236
3.6961	1.42352	1.42352	1.42352
3.6971	1.42469	1.42469	1.42469
3.6981	1.42586	1.42586	1.42585
3.6991	1.42702	1.42702	1.42702
3.7001	1.42819	1.42819	1.42819
3.7011	1.42936	1.42936	1.42936
3.7021	1.43052	1.43052	1.43052
3.7031	1.43169	1.43169	1.43169
3.7041	1.43286	1.43286	1.43286
3.7051	1.43403	1.43403	1.43403
3.7061	1.4352	1.4352	1.4352
3.7071	1.43637	1.43637	1.43637
3.7081	1.43754	1.43754	1.43754
3.7091	1.43871	1.43871	1.43871
3.7101	1.43988	1.43988	1.43988
3.7111	1.44105	1.44105	1.44105
3.7121	1.44222	1.44222	1.44222
3.7131	1.44339	1.44339	1.44339
3.7141	1.44456	1.44456	1.44456
3.7151	1.44573	1.44573	1.44573
3.7161	1.4469	1.4469	1.4469
3.7171	1.44808	1.44808	1.44808
3.7181	1.44925	1.44925	1.44925
3.7191	1.45042	1.45042	1.45042
3.7201	1.45159	1.45159	1.45159
3.7211	1.45277	1.45277	1.45277
3.7221	1.45394	1.45394	1.45394
3.7231	1.45512	1.45512	1.45512
3.7241	1.45629	1.45629	1.45629
3.7251	1.45747	1.45747	1.45746
3.7261	1.45864	1.45864	1.45864
3.7271	1.45982	1.45982	1.45981
3.7281	1.46099	1.46099	1.46099
3.7291	1.46217	1.46217	1.46217
3.7301	1.46334	1.46334	1.46334
3.7311	1.46452	1.46452	1.46452
3.7321	1.4657	1.4657	1.4657
3.7331	1.46687	1.46687	1.46687
3.7341	1.46805	1.46805	1.46805
3.7351	1.46923	1.46923	1.46923
3.7361	1.47041	1.47041	1.47041
3.7371	1.47159	1.47159	1.47159
3.7381	1.47277	1.47277	1.47276
3.7391	1.47394	1.47394	1.47394
3.7401	1.47512	1.47512	1.47512
3.7411	1.4763	1.4763	1.4763
3.7421	1.47748	1.47748	1.47748
3.7431	1.47866	1.47866	1.47866
3.7441	1.47984	1.47984	1.47984
3.7451	1.48102	1.48102	1.48102
3.7461	1.48221	1.48221	1.48221
3.7471	1.48339	1.48339	1.48339
3.7481	1.48457	1.48457	1.48457
3.7491	1.48575	1.48575	1.48575
3.7501	1.48693	1.48693	1.48693
3.7511	1.48812	1.48812	1.48812
3.7521	1.4893	1.4893	1.4893
3.7531	1.49048	1.49048	1.49048
3.7541	1.49167	1.49167	1.49167
3.7551	1.49285	1.49285	1.49285
3.7561	1.49403	1.49403	1.49403
3.7571	1.49522	1.49522	1.49522
3.7581	1.4964	1.4964	1.4964
3.7591	1.49759	1.49759	1.49759
3.7601	1.49877	1.49877	1.49877
3.7611	1.49996	1.49996	1.49996
3.7621	1.50115	1.50115	1.50115
3.7631	1.50233	1.50233	1.50233
3.7641	1.50352	1.50352	1.50352
3.7651	1.50471	1.50471	1.50471
3.7661	1.50589	1.50589	1.50589
3.7671	1.50708	1.50708	1.50708
3.7681	1.50827	1.50827	1.50827
3.7691	1.50946	1.50946	1.50946
3.7701	1.51065	1.51065	1.51065
3.7711	1.51183	1.51183	1.51183
3.7721	1.51302	1.51302	1.51302
3.7731	1.51421	1.51421	1.51421
3.7741	1.5154	1.5154	1.5154
3.7751	1.51659	1.51659	1.51659
3.7761	1.51778	1.51778	1.51778
3.7771	1.51897	1.51897	1.51897
3.7781	1.52017	1.52017	1.52016
3.7791	1.52136	1.52136	1.52136
3.7801	1.52255	1.52255	1.52255
3.7811	1.52374	1.52374	1.52374
3.7821	1.52493	1.52493	1.52493
3.7831	1.52612	1.52612	1.52612
3.7841	1.52732	1.52732	1.52732
3.7851	1.52851	1.52851	1.52851
3.7861	1.5297	1.5297	1.5297
3.7871	1.5309	1.5309	1.5309
3.7881	1.53209	1.53209	1.53209
3.7891	1.53329	1.53329	1.53328
3.7901	1.53448	1.53448	1.53448
3.7911	1.53567	1.53567	1.53567
3.7921	1.53687	1.53687	1.53687
3.7931	1.53807	1.53807	1.53806
3.7941	1.53926	1.53926	1.53926
3.7951	1.54046	1.54046	1.54046
3.7961	1.54165	1.54165	1.54165
3.7971	1.54285	1.54285	1.54285
3.7981	1.54405	1.54405	1.54405
