x	eval	deriv	integ
1.58	-0.00920354	-1.00538	0.999958
1.59	-0.0192025	-0.994411	0.999816
1.6	-0.0291995	-1.00499	0.999574
1.61	-0.0391936	-0.993831	0.999232
1.62	-0.0491838	-1.00421	0.99879
1.63	-0.0591691	-0.992851	0.998248
1.64	-0.0691484	-1.00301	0.997606
1.65	-0.0791209	-0.991491	0.996865
1.66	-0.0890854	-1.00141	0.996024
1.67	-0.099041	-0.989711	0.995083
1.68	-0.108987	-0.999489	0.994043
1.69	-0.118922	-0.987511	0.992904
1.7	-0.128844	-0.996889	0.991665
1.71	-0.138755	-0.985311	0.990327
1.72	-0.148651	-0.993889	0.98889
1.73	-0.158532	-0.982311	0.987354
1.74	-0.168397	-0.990689	0.985719
1.75	-0.178246	-0.979111	0.983986
1.76	-0.188077	-0.987089	0.982154
1.77	-0.197889	-0.975311	0.980224
1.78	-0.207681	-0.983089	0.978197
1.79	-0.217452	-0.971111	0.976071
1.8	-0.227202	-0.978889	0.973848
1.81	-0.236929	-0.966511	0.971527
1.82	-0.246632	-0.974089	0.969109
1.83	-0.256311	-0.961711	0.966594
1.84	-0.265964	-0.968889	0.963983
1.85	-0.27559	-0.956311	0.961275
1.86	-0.285189	-0.963489	0.958471
1.87	-0.294759	-0.950511	0.955572
1.88	-0.3043	-0.957689	0.952576
1.89	-0.313811	-0.944511	0.949486
1.9	-0.32329	-0.951289	0.9463
1.91	-0.332736	-0.937911	0.94302
1.92	-0.34215	-0.944889	0.939646
1.93	-0.351529	-0.930911	0.936177
1.94	-0.360873	-0.937889	0.932615
1.95	-0.370181	-0.923711	0.92896
1.96	-0.379452	-0.930489	0.925212
1.97	-0.388685	-0.916111	0.921371
1.98	-0.397879	-0.922689	0.917438
1.99	-0.407033	-0.908111	0.913413
2	-0.416147	-0.914689	0.909297
2.01	-0.425219	-0.899711	0.905091
2.02	-0.434248	-0.906089	0.900793
2.03	-0.443234	-0.891111	0.896406
2.04	-0.452176	-0.897289	0.891929
2.05	-0.461073	-0.882111	0.887362
2.06	-0.469923	-0.887889	0.882707
2.07	-0.478727	-0.872911	0.877964
2.08	-0.487482	-0.878089	0.873133
2.09	-0.496189	-0.863311	0.868215
2.1	-0.504846	-0.868089	0.863209
2.11	-0.513453	-0.853311	0.858118
2.12	-0.522008	-0.857689	0.852941
2.13	-0.530511	-0.842911	0.847678
2.14	-0.538961	-0.847089	0.84233
2.15	-0.547358	-0.832311	0.836899
2.16	-0.555699	-0.835889	0.831384
2.17	-0.563985	-0.821311	0.825785
2.18	-0.572215	-0.824689	0.820104
2.19	-0.580387	-0.809711	0.814341
2.2	-0.588501	-0.813089	0.808496
2.21	-0.596557	-0.798111	0.802571
2.22	-0.604552	-0.800889	0.796566
2.23	-0.612488	-0.786311	0.79048
2.24	-0.620362	-0.788489	0.784316
2.25	-0.628174	-0.773911	0.778073
2.26	-0.635923	-0.775889	0.771753
2.27	-0.643608	-0.761111	0.765355
2.28	-0.65123	-0.763289	0.758881
2.29	-0.658786	-0.747911	0.752331
2.3	-0.666276	-0.750089	0.745705
2.31	-0.6737	-0.734711	0.739005
2.32	-0.681056	-0.736489	0.732231
2.33	-0.688344	-0.721111	0.725384
2.34	-0.695563	-0.722689	0.718465
2.35	-0.702713	-0.707311	0.711473
2.36	-0.709793	-0.708689	0.704411
2.37	-0.716801	-0.692911	0.697278
2.38	-0.723738	-0.694489	0.690075
2.39	-0.730602	-0.678311	0.682803
2.4	-0.737394	-0.680089	0.675463
2.41	-0.744111	-0.663311	0.668056
2.42	-0.750755	-0.665489	0.660581
2.43	-0.757323	-0.648111	0.653041
2.44	-0.763815	-0.650289	0.645435
2.45	-0.770231	-0.632911	0.637765
2.46	-0.77657	-0.634889	0.630031
2.47	-0.782832	-0.617511	0.622234
2.48	-0.789015	-0.619089	0.614374
2.49	-0.795119	-0.601711	0.606453
2.5	-0.801144	-0.603289	0.598472
2.51	-0.807088	-0.585511	0.590431
2.52	-0.812952	-0.587289	0.582331
2.53	-0.818735	-0.569311	0.574172
2.54	-0.824435	-0.570689	0.565956
2.55	-0.830054	-0.553111	0.557684
2.56	-0.835589	-0.553889	0.549355
2.57	-0.84104	-0.536311	0.540972
2.58	-0.846408	-0.537289	0.532535
2.59	-0.851691	-0.519311	0.524044
2.6	-0.856889	-0.520289	0.515501
2.61	-0.862001	-0.502111	0.506907
2.62	-0.867027	-0.503089	0.498262
2.63	-0.871966	-0.484711	0.489567
2.64	-0.876818	-0.485689	0.480823
2.65	-0.881582	-0.467111	0.47203
2.66	-0.886258	-0.468089	0.463191
2.67	-0.890846	-0.449511	0.454306
2.68	-0.895344	-0.450089	0.445375
2.69	-0.899753	-0.431711	0.436399
2.7	-0.904072	-0.432089	0.42738
2.71	-0.908301	-0.413711	0.418318
2.72	-0.912438	-0.413689	0.409214
2.73	-0.916485	-0.395711	0.400069
2.74	-0.92044	-0.395289	0.390885
2.75	-0.924302	-0.377111	0.381661
2.76	-0.928073	-0.377089	0.372399
2.77	-0.93175	-0.358311	0.3631
2.78	-0.935335	-0.358689	0.353764
2.79	-0.938825	-0.339311	0.344393
2.8	-0.942222	-0.340089	0.334988
2.81	-0.945525	-0.320511	0.325549
2.82	-0.948733	-0.321089	0.316078
2.83	-0.951847	-0.301711	0.306575
2.84	-0.954865	-0.301889	0.297041
2.85	-0.957787	-0.282511	0.287478
2.86	-0.960614	-0.282889	0.277886
2.87	-0.963345	-0.263311	0.268266
2.88	-0.965979	-0.263489	0.258619
2.89	-0.968517	-0.244111	0.248947
2.9	-0.970958	-0.244089	0.239249
2.91	-0.973302	-0.224711	0.229528
2.92	-0.975549	-0.224689	0.219784
2.93	-0.977698	-0.205111	0.210017
2.94	-0.979749	-0.205089	0.20023
2.95	-0.981702	-0.185511	0.190423
2.96	-0.983557	-0.185489	0.180596
2.97	-0.985314	-0.165911	0.170752
2.98	-0.986972	-0.165689	0.16089
2.99	-0.988532	-0.146311	0.151013
3	-0.989992	-0.145689	0.14112
3.01	-0.991354	-0.126711	0.131213
3.02	-0.992617	-0.125889	0.121293
3.03	-0.99378	-0.106711	0.111361
3.04	-0.994844	-0.106089	0.101418
3.05	-0.995808	-0.0867106	0.0914646
3.06	-0.996673	-0.0862894	0.0815022
3.07	-0.997438	-0.0667106	0.0715315
3.08	-0.998104	-0.0664894	0.0615538
3.09	-0.998669	-0.0465106	0.0515697
3.1	-0.999135	-0.0466894	0.0415807
3.11	-0.999501	-0.0265106	0.0315874
3.12	-0.999767	-0.0266894	0.021591
3.13	-0.999933	-0.0065106	0.0115924
3.14	-0.999999	-0.0066894	0.0015927
3.15	-0.999965	0.0134894	-0.00840729
3.16	-0.999831	0.0133106	-0.0184063
3.17	-0.999597	0.0334894	-0.0284036
3.18	-0.999263	0.0333106	-0.0383979
3.19	-0.998829	0.0534894	-0.0483885
3.2	-0.998295	0.0533106	-0.0583741
3.21	-0.997661	0.0734894	-0.0683541
3.22	-0.996928	0.0731106	-0.078327
3.23	-0.996095	0.0934894	-0.0882923
3.24	-0.995162	0.0931106	-0.0982486
3.25	-0.99413	0.113289	-0.108195
3.26	-0.992998	0.113111	-0.118131
3.27	-0.991767	0.133089	-0.128055
3.28	-0.990437	0.132911	-0.137966
3.29	-0.989008	0.152889	-0.147863
3.3	-0.98748	0.152711	-0.157746
3.31	-0.985853	0.172689	-0.167613
3.32	-0.984128	0.172311	-0.177462
3.33	-0.982304	0.192489	-0.187295
3.34	-0.980382	0.191911	-0.197108
3.35	-0.978362	0.212089	-0.206902
3.36	-0.976244	0.211511	-0.216675
3.37	-0.974028	0.231689	-0.226427
3.38	-0.971715	0.230911	-0.236155
3.39	-0.969305	0.251089	-0.245861
3.4	-0.966798	0.250311	-0.255541
3.41	-0.964194	0.270489	-0.265196
3.42	-0.961494	0.269511	-0.274825
3.43	-0.958698	0.289689	-0.284426
3.44	-0.955806	0.288711	-0.293998
3.45	-0.952818	0.308889	-0.303542
3.46	-0.949735	0.307711	-0.313054
3.47	-0.946557	0.327889	-0.322536
3.48	-0.943285	0.326511	-0.331985
3.49	-0.939918	0.346889	-0.341401
3.5	-0.936457	0.345311	-0.350783
3.51	-0.932902	0.365689	-0.36013
3.52	-0.929254	0.363911	-0.369441
3.53	-0.925513	0.384289	-0.378715
3.54	-0.92168	0.382311	-0.387951
3.55	-0.917755	0.402689	-0.397148
3.56	-0.913737	0.400911	-0.406306
3.57	-0.909629	0.420689	-0.415423
3.58	-0.905429	0.419311	-0.424498
3.59	-0.901139	0.438689	-0.433531
3.6	-0.896758	0.437511	-0.44252
3.61	-0.892288	0.456489	-0.451466
3.62	-0.887729	0.455311	-0.460366
3.63	-0.883081	0.474289	-0.46922
3.64	-0.878345	0.472911	-0.478027
3.65	-0.873521	0.491889	-0.486787
3.66	-0.868609	0.490511	-0.495497
3.67	-0.863611	0.509089	-0.504159
3.68	-0.858526	0.507911	-0.512769
3.69	-0.853356	0.526089	-0.521329
3.7	-0.8481	0.525111	-0.529836
3.71	-0.842759	0.543089	-0.538291
3.72	-0.837334	0.541911	-0.546691
3.73	-0.831826	0.559689	-0.555037
3.74	-0.826234	0.558711	-0.563327
3.75	-0.820559	0.576289	-0.571561
3.76	-0.814803	0.574911	-0.579738
3.77	-0.808965	0.592689	-0.587857
3.78	-0.803046	0.591111	-0.595917
3.79	-0.797047	0.608689	-0.603918
3.8	-0.790968	0.607111	-0.611858
3.81	-0.78481	0.624489	-0.619737
3.82	-0.778573	0.622911	-0.627554
3.83	-0.772259	0.639889	-0.635308
3.84	-0.765867	0.638511	-0.642999
3.85	-0.759399	0.655089	-0.650625
3.86	-0.752855	0.653711	-0.658186
3.87	-0.746236	0.670089	-0.665682
3.88	-0.739542	0.668711	-0.673111
3.89	-0.732774	0.684889	-0.680473
3.9	-0.725932	0.683511	-0.687766
3.91	-0.719018	0.699289	-0.694991
3.92	-0.712033	0.697711	-0.702146
3.93	-0.704976	0.713689	-0.709231
3.94	-0.697848	0.711911	-0.716246
3.95	-0.690651	0.727489	-0.723188
3.96	-0.683385	0.725711	-0.730058
3.97	-0.67605	0.741289	-0.736856
3.98	-0.668648	0.739111	-0.743579
3.99	-0.661179	0.754689	-0.750228
4	-0.653644	0.752311	-0.756802
4.01	-0.646043	0.767889	-0.763301
4.02	-0.638378	0.765111	-0.769723
4.03	-0.630649	0.780689	-0.776068
4.04	-0.622857	0.777711	-0.782336
4.05	-0.615002	0.793289	-0.788525
4.06	-0.607087	0.789711	-0.794636
4.07	-0.59911	0.805689	-0.800667
4.08	-0.591073	0.801711	-0.806618
4.09	-0.582978	0.817289	-0.812488
4.1	-0.574824	0.813511	-0.818277
4.11	-0.566613	0.828689	-0.823984
4.12	-0.558345	0.824911	-0.829609
4.13	-0.550021	0.839889	-0.835151
4.14	-0.541642	0.835911	-0.840609
4.15	-0.533209	0.850689	-0.845984
4.16	-0.524722	0.846711	-0.851273
4.17	-0.516184	0.860889	-0.856478
4.18	-0.507593	0.857311	-0.861597
4.19	-0.498952	0.870889	-0.86663
4.2	-0.490261	0.867311	-0.871576
4.21	-0.481521	0.880689	-0.876435
4.22	-0.472732	0.877111	-0.881206
4.23	-0.463897	0.889889	-0.885889
4.24	-0.455015	0.886511	-0.890484
4.25	-0.446087	0.899089	-0.894989
4.26	-0.437115	0.895311	-0.899405
4.27	-0.4281	0.907689	-0.903732
4.28	-0.419041	0.904111	-0.907967
4.29	-0.409941	0.915889	-0.912112
4.3	-0.400799	0.912511	-0.916166
4.31	-0.391618	0.923689	-0.920128
4.32	-0.382397	0.920511	-0.923998
4.33	-0.373138	0.931289	-0.927776
4.34	-0.363842	0.927911	-0.931461
4.35	-0.354509	0.938689	-0.935053
4.36	-0.345141	0.934911	-0.938551
4.37	-0.335738	0.945689	-0.941955
4.38	-0.326302	0.941511	-0.945266
4.39	-0.316833	0.952289	-0.948481
4.4	-0.307333	0.947711	-0.951602
4.41	-0.297802	0.958489	-0.954628
4.42	-0.288241	0.953711	-0.957558
4.43	-0.278651	0.964289	-0.960393
4.44	-0.269033	0.959311	-0.963131
4.45	-0.259389	0.969489	-0.965773
4.46	-0.249718	0.964711	-0.968319
4.47	-0.240022	0.974489	-0.970767
4.48	-0.230303	0.969311	-0.973119
4.49	-0.22056	0.979289	-0.975373
4.5	-0.210796	0.973511	-0.97753
4.51	-0.20101	0.983689	-0.979589
4.52	-0.191204	0.977511	-0.98155
4.53	-0.181379	0.987489	-0.983413
4.54	-0.171536	0.981111	-0.985178
4.55	-0.161676	0.990889	-0.986844
4.56	-0.1518	0.984311	-0.988411
4.57	-0.141908	0.994089	-0.98988
4.58	-0.132003	0.986911	-0.991249
4.59	-0.122084	0.996889	-0.99252
4.6	-0.112153	0.989311	-0.993691
4.61	-0.10221	0.999289	-0.994763
4.62	-0.0922576	0.991191	-0.995735
4.63	-0.0822958	1.00117	-0.996608
4.64	-0.0723258	0.992831	-0.997381
4.65	-0.0623485	1.00263	-0.998055
4.66	-0.052365	0.994071	-0.998628
4.67	-0.0423763	1.00367	-0.999102
4.68	-0.0323833	0.994931	-0.999476
4.69	-0.0223871	1.00431	-0.999749
4.7	-0.0123887	0.995371	-0.999923
4.71	-0.00238898	1.00457	-0.999997
4.72	0.00761095	0.995413	-0.999971
4.73	0.0176101	1.00442	-0.999845
4.74	0.0276075	0.995063	-0.999619
4.75	0.0376022	1.00388	-0.999293
4.76	0.047593	0.994283	-0.998867
4.77	0.0575792	1.00296	-0.998341
4.78	0.0675595	0.993103	-0.997715
4.79	0.0775331	1.00162	-0.99699
4.8	0.087499	0.991563	-0.996165
4.81	0.0974561	0.999857	-0.99524
4.82	0.107403	0.989523	-0.994216
4.83	0.11734	0.997877	-0.993092
4.84	0.127265	0.987123	-0.991869
4.85	0.137177	0.995277	-0.990547
4.86	0.147076	0.984523	-0.989125
4.87	0.156959	0.992077	-0.987605
4.88	0.166827	0.981523	-0.985986
4.89	0.176679	0.988877	-0.984269
4.9	0.186512	0.977723	-0.982453
4.91	0.196327	0.985277	-0.980539
4.92	0.206123	0.973923	-0.978526
4.93	0.215898	0.981077	-0.976416
4.94	0.225651	0.969523	-0.974208
4.95	0.235381	0.976477	-0.971903
4.96	0.245089	0.965123	-0.969501
4.97	0.254771	0.971277	-0.967001
4.98	0.264428	0.960123	-0.964405
4.99	0.274059	0.966077	-0.961713
5	0.283662	0.954523	-0.958924
5.01	0.293237	0.960477	-0.95604
5.02	0.302783	0.948723	-0.95306
5.03	0.312298	0.954277	-0.949984
5.04	0.321782	0.942523	-0.946814
5.05	0.331234	0.947877	-0.943549
5.06	0.340653	0.935923	-0.940189
5.07	0.350037	0.940877	-0.936736
5.08	0.359387	0.929123	-0.933189
5.09	0.368701	0.933677	-0.929548
5.1	0.377978	0.921723	-0.925815
5.11	0.387217	0.926077	-0.921989
5.12	0.396417	0.913923	-0.91807
5.13	0.405578	0.918277	-0.914061
5.14	0.414698	0.905723	-0.909959
5.15	0.423777	0.910077	-0.905767
5.16	0.432813	0.897123	-0.901484
5.17	0.441806	0.901477	-0.897111
5.18	0.450755	0.888323	-0.892648
5.19	0.459659	0.892477	-0.888096
5.2	0.468517	0.879123	-0.883455
5.21	0.477328	0.883077	-0.878725
5.22	0.486091	0.869523	-0.873908
5.23	0.494806	0.873477	-0.869004
5.24	0.503471	0.859523	-0.864012
5.25	0.512085	0.863277	-0.858935
5.26	0.520649	0.849523	-0.853771
5.27	0.529161	0.852877	-0.848522
5.28	0.537619	0.838723	-0.843188
5.29	0.546024	0.842277	-0.83777
5.3	0.554374	0.827723	-0.832267
5.31	0.562669	0.831277	-0.826682
5.32	0.570908	0.816523	-0.821014
5.33	0.579089	0.819677	-0.815264
5.34	0.587213	0.805123	-0.809433
5.35	0.595278	0.807877	-0.80352
5.36	0.603283	0.793123	-0.797527
5.37	0.611228	0.795877	-0.791455
5.38	0.619112	0.780923	-0.785303
5.39	0.626934	0.783477	-0.779073
5.4	0.634693	0.768323	-0.772764
5.41	0.642389	0.770877	-0.766379
5.42	0.65002	0.755323	-0.759917
5.43	0.657587	0.758077	-0.753379
5.44	0.665088	0.742123	-0.746765
5.45	0.672522	0.744677	-0.740077
5.46	0.679889	0.728723	-0.733315
5.47	0.687188	0.731077	-0.72648
5.48	0.694418	0.714923	-0.719572
5.49	0.701579	0.717277	-0.712592
5.5	0.70867	0.700923	-0.70554
5.51	0.71569	0.703077	-0.698419
5.52	0.722638	0.686523	-0.691227
5.53	0.729514	0.688677	-0.683966
5.54	0.736317	0.671923	-0.676637
5.55	0.743046	0.673877	-0.66924
5.56	0.749702	0.657323	-0.661776
5.57	0.756282	0.658677	-0.654246
5.58	0.762786	0.642123	-0.646651
5.59	0.769215	0.643677	-0.638991
5.6	0.775566	0.626523	-0.631267
5.61	0.78184	0.628277	-0.62348
5.62	0.788035	0.610723	-0.61563
5.63	0.794152	0.612677	-0.607719
5.64	0.800189	0.594723	-0.599747
5.65	0.806147	0.596877	-0.591716
5.66	0.812024	0.578523	-0.583625
5.67	0.817819	0.580477	-0.575475
5.68	0.823533	0.562323	-0.567269
5.69	0.829164	0.563877	-0.559005
5.7	0.834713	0.545923	-0.550686
