x	interp	deriv	integ
3.11	-0.999501	-0.0366	0.0315872
3.12	-0.999767	-0.0266	0.0215908
3.13	-0.999933	-0.0166	0.0115923
3.14	-0.999999	-0.0066	0.00159268
3.15	-0.999965	0.0034	-0.00840714
3.16	-0.999831	0.0134	-0.0184061
3.17	-0.999597	0.0234	-0.0284033
3.18	-0.999263	0.0334	-0.0383976
3.19	-0.998829	0.0434	-0.048388
3.2	-0.998295	0.0534	-0.0583736
3.21	-0.997661	0.0634	-0.0683534
3.22	-0.996928	0.0733	-0.0783264
3.23	-0.996095	0.0833	-0.0882915
3.24	-0.995162	0.0933	-0.0982478
3.25	-0.99413	0.1032	-0.108194
3.26	-0.992998	0.1132	-0.11813
3.27	-0.991767	0.1231	-0.128054
3.28	-0.990437	0.133	-0.137965
3.29	-0.989008	0.1429	-0.147862
3.3	-0.98748	0.1528	-0.157744
3.31	-0.985853	0.1627	-0.167611
3.32	-0.984128	0.1725	-0.177461
3.33	-0.982304	0.1824	-0.187293
3.34	-0.980382	0.1922	-0.197107
3.35	-0.978362	0.202	-0.2069
3.36	-0.976244	0.2118	-0.216673
3.37	-0.974028	0.2216	-0.226425
3.38	-0.971715	0.2313	-0.236153
3.39	-0.969305	0.241	-0.245858
3.4	-0.966798	0.2507	-0.255539
3.41	-0.964194	0.2604	-0.265194
3.42	-0.961494	0.27	-0.274822
3.43	-0.958698	0.2796	-0.284423
3.44	-0.955806	0.2892	-0.293996
3.45	-0.952818	0.2988	-0.303539
3.46	-0.949735	0.3083	-0.313052
3.47	-0.946557	0.3178	-0.322533
3.48	-0.943285	0.3272	-0.331982
3.49	-0.939918	0.3367	-0.341398
3.5	-0.936457	0.3461	-0.35078
3.51	-0.932902	0.3555	-0.360127
3.52	-0.929254	0.3648	-0.369438
3.53	-0.925513	0.3741	-0.378712
3.54	-0.92168	0.3833	-0.387948
3.55	-0.917755	0.3925	-0.397145
3.56	-0.913737	0.4018	-0.406302
3.57	-0.909629	0.4108	-0.415419
3.58	-0.905429	0.42	-0.424494
3.59	-0.901139	0.429	-0.433527
3.6	-0.896758	0.4381	-0.442517
3.61	-0.892288	0.447	-0.451462
3.62	-0.887729	0.4559	-0.460362
3.63	-0.883081	0.4648	-0.469216
3.64	-0.878345	0.4736	-0.478023
3.65	-0.873521	0.4824	-0.486783
3.66	-0.868609	0.4912	-0.495493
3.67	-0.863611	0.4998	-0.504154
3.68	-0.858526	0.5085	-0.512765
3.69	-0.853356	0.517	-0.521324
3.7	-0.8481	0.5256	-0.529832
3.71	-0.842759	0.5341	-0.538286
3.72	-0.837334	0.5425	-0.546686
3.73	-0.831826	0.5508	-0.555032
3.74	-0.826234	0.5592	-0.563323
3.75	-0.820559	0.5675	-0.571557
3.76	-0.814803	0.5756	-0.579733
3.77	-0.808965	0.5838	-0.587852
3.78	-0.803046	0.5919	-0.595912
3.79	-0.797047	0.5999	-0.603913
3.8	-0.790968	0.6079	-0.611853
3.81	-0.78481	0.6158	-0.619732
3.82	-0.778573	0.6237	-0.627549
3.83	-0.772259	0.6314	-0.635303
3.84	-0.765867	0.6392	-0.642993
3.85	-0.759399	0.6468	-0.65062
3.86	-0.752855	0.6544	-0.658181
3.87	-0.746236	0.6619	-0.665676
3.88	-0.739542	0.6694	-0.673105
3.89	-0.732774	0.6768	-0.680467
3.9	-0.725932	0.6842	-0.68776
3.91	-0.719018	0.6914	-0.694985
3.92	-0.712033	0.6985	-0.70214
3.93	-0.704976	0.7057	-0.709225
3.94	-0.697848	0.7128	-0.71624
3.95	-0.690651	0.7197	-0.723182
3.96	-0.683385	0.7266	-0.730052
3.97	-0.67605	0.7335	-0.736849
3.98	-0.668648	0.7402	-0.743573
3.99	-0.661179	0.7469	-0.750222
4	-0.653644	0.7535	-0.756796
4.01	-0.646043	0.7601	-0.763295
4.02	-0.638378	0.7665	-0.769717
4.03	-0.630649	0.7729	-0.776062
4.04	-0.622857	0.7792	-0.782329
4.05	-0.615002	0.7855	-0.788519
4.06	-0.607087	0.7915	-0.794629
4.07	-0.59911	0.7977	-0.80066
4.08	-0.591073	0.8037	-0.806611
4.09	-0.582978	0.8095	-0.812481
4.1	-0.574824	0.8154	-0.81827
4.11	-0.566613	0.8211	-0.823977
4.12	-0.558345	0.8268	-0.829602
4.13	-0.550021	0.8324	-0.835144
4.14	-0.541642	0.8379	-0.840602
4.15	-0.533209	0.8433	-0.845977
4.16	-0.524722	0.8487	-0.851266
4.17	-0.516184	0.8538	-0.856471
4.18	-0.507593	0.8591	-0.86159
4.19	-0.498952	0.8641	-0.866622
4.2	-0.490261	0.8691	-0.871569
4.21	-0.481521	0.874	-0.876427
4.22	-0.472732	0.8789	-0.881199
4.23	-0.463897	0.8835	-0.885882
4.24	-0.455015	0.8882	-0.890476
4.25	-0.446087	0.8928	-0.894982
4.26	-0.437115	0.8972	-0.899398
4.27	-0.4281	0.9015	-0.903724
4.28	-0.419041	0.9059	-0.90796
4.29	-0.409941	0.91	-0.912105
4.3	-0.400799	0.9142	-0.916158
4.31	-0.391618	0.9181	-0.92012
4.32	-0.382397	0.9221	-0.92399
4.33	-0.373138	0.9259	-0.927768
4.34	-0.363842	0.9296	-0.931453
4.35	-0.354509	0.9333	-0.935045
4.36	-0.345141	0.9368	-0.938543
4.37	-0.335738	0.9403	-0.941947
4.38	-0.326302	0.9436	-0.945258
4.39	-0.316833	0.9469	-0.948473
4.4	-0.307333	0.95	-0.951594
4.41	-0.297802	0.9531	-0.95462
4.42	-0.288241	0.9561	-0.95755
4.43	-0.278651	0.959	-0.960385
4.44	-0.269033	0.9618	-0.963123
4.45	-0.259389	0.9644	-0.965765
4.46	-0.249718	0.9671	-0.968311
4.47	-0.240022	0.9696	-0.970759
4.48	-0.230303	0.9719	-0.973111
4.49	-0.22056	0.9743	-0.975365
4.5	-0.210796	0.9764	-0.977522
4.51	-0.20101	0.9786	-0.979581
4.52	-0.191204	0.9806	-0.981542
4.53	-0.181379	0.9825	-0.983405
4.54	-0.171536	0.9843	-0.98517
4.55	-0.161676	0.986	-0.986836
4.56	-0.1518	0.9876	-0.988403
4.57	-0.141908	0.9892	-0.989872
4.58	-0.132003	0.9905	-0.991241
4.59	-0.122084	0.9919	-0.992512
4.6	-0.112153	0.9931	-0.993683
4.61	-0.10221	0.9943	-0.994755
4.62	-0.0922576	0.99524	-0.995727
4.63	-0.0822958	0.99618	-0.9966
4.64	-0.0723258	0.997	-0.997373
4.65	-0.0623485	0.99773	-0.998046
4.66	-0.052365	0.99835	-0.99862
4.67	-0.0423763	0.99887	-0.999093
4.68	-0.0323833	0.9993	-0.999467
4.69	-0.0223871	0.99962	-0.999741
4.7	-0.0123887	0.99984	-0.999915
4.71	-0.00238898	0.999972	-0.999989
4.72	0.00761095	0.999993	-0.999963
4.73	0.0176101	0.999915	-0.999837
4.74	0.0276075	0.99974	-0.999611
4.75	0.0376022	0.99947	-0.999284
4.76	0.047593	0.99908	-0.998859
4.77	0.0575792	0.99862	-0.998333
4.78	0.0675595	0.99803	-0.997707
4.79	0.0775331	0.99736	-0.996981
4.8	0.087499	0.99659	-0.996156
4.81	0.0974561	0.99571	-0.995232
4.82	0.107403	0.99469	-0.994207
4.83	0.11734	0.9937	-0.993084
4.84	0.127265	0.9925	-0.991861
4.85	0.137177	0.9912	-0.990538
4.86	0.147076	0.9899	-0.989117
4.87	0.156959	0.9883	-0.987597
4.88	0.166827	0.9868	-0.985978
4.89	0.176679	0.9852	-0.98426
4.9	0.186512	0.9833	-0.982444
4.91	0.196327	0.9815	-0.98053
4.92	0.206123	0.9796	-0.978518
4.93	0.215898	0.9775	-0.976408
4.94	0.225651	0.9753	-0.9742
4.95	0.235381	0.973	-0.971895
4.96	0.245089	0.9708	-0.969493
4.97	0.254771	0.9682	-0.966993
4.98	0.264428	0.9657	-0.964397
4.99	0.274059	0.9631	-0.961705
5	0.283662	0.9603	-0.958916
5.01	0.293237	0.9575	-0.956032
5.02	0.302783	0.9546	-0.953052
5.03	0.312298	0.9515	-0.949976
5.04	0.321782	0.9484	-0.946806
5.05	0.331234	0.9452	-0.943541
5.06	0.340653	0.9419	-0.940181
5.07	0.350037	0.9384	-0.936728
5.08	0.359387	0.935	-0.933181
5.09	0.368701	0.9314	-0.92954
5.1	0.377978	0.9277	-0.925807
5.11	0.387217	0.9239	-0.921981
5.12	0.396417	0.92	-0.918063
5.13	0.405578	0.9161	-0.914053
5.14	0.414698	0.912	-0.909951
5.15	0.423777	0.9079	-0.905759
5.16	0.432813	0.9036	-0.901476
5.17	0.441806	0.8993	-0.897103
5.18	0.450755	0.8949	-0.89264
5.19	0.459659	0.8904	-0.888088
5.2	0.468517	0.8858	-0.883447
5.21	0.477328	0.8811	-0.878718
5.22	0.486091	0.8763	-0.873901
5.23	0.494806	0.8715	-0.868997
5.24	0.503471	0.8665	-0.864005
5.25	0.512085	0.8614	-0.858927
5.26	0.520649	0.8564	-0.853764
5.27	0.529161	0.8512	-0.848515
5.28	0.537619	0.8458	-0.843181
5.29	0.546024	0.8405	-0.837763
5.3	0.554374	0.835	-0.832261
5.31	0.562669	0.8295	-0.826675
5.32	0.570908	0.8239	-0.821007
5.33	0.579089	0.8181	-0.815257
5.34	0.587213	0.8124	-0.809426
5.35	0.595278	0.8065	-0.803513
5.36	0.603283	0.8005	-0.797521
5.37	0.611228	0.7945	-0.791448
5.38	0.619112	0.7884	-0.785296
5.39	0.626934	0.7822	-0.779066
5.4	0.634693	0.7759	-0.772758
5.41	0.642389	0.7696	-0.766373
5.42	0.65002	0.7631	-0.759911
5.43	0.657587	0.7567	-0.753373
5.44	0.665088	0.7501	-0.746759
5.45	0.672522	0.7434	-0.740071
5.46	0.679889	0.7367	-0.733309
5.47	0.687188	0.7299	-0.726474
5.48	0.694418	0.723	-0.719566
5.49	0.701579	0.7161	-0.712586
5.5	0.70867	0.7091	-0.705534
5.51	0.71569	0.702	-0.698413
5.52	0.722638	0.6948	-0.691221
5.53	0.729514	0.6876	-0.68396
5.54	0.736317	0.6803	-0.676631
5.55	0.743046	0.6729	-0.669234
5.56	0.749702	0.6656	-0.661771
5.57	0.756282	0.658	-0.654241
5.58	0.762786	0.6504	-0.646645
5.59	0.769215	0.6429	-0.638985
5.6	0.775566	0.6351	-0.631261
5.61	0.78184	0.6274	-0.623474
5.62	0.788035	0.6195	-0.615625
5.63	0.794152	0.6117	-0.607714
5.64	0.800189	0.6037	-0.599742
5.65	0.806147	0.5958	-0.591711
5.66	0.812024	0.5877	-0.58362
5.67	0.817819	0.5795	-0.575471
5.68	0.823533	0.5714	-0.567264
5.69	0.829164	0.5631	-0.559
5.7	0.834713	0.5549	-0.550681
5.71	0.840178	0.5465	-0.542306
5.72	0.845559	0.5381	-0.533878
5.73	0.850855	0.5296	-0.525396
5.74	0.856067	0.5212	-0.516861
5.75	0.861192	0.5125	-0.508275
5.76	0.866232	0.504	-0.499638
5.77	0.871185	0.4953	-0.490951
5.78	0.876051	0.4866	-0.482214
5.79	0.880829	0.4778	-0.47343
5.8	0.88552	0.4691	-0.464598
5.81	0.890121	0.4601	-0.45572
5.82	0.894634	0.4513	-0.446796
5.83	0.899057	0.4423	-0.437828
5.84	0.90339	0.4333	-0.428816
5.85	0.907633	0.4243	-0.41976
5.86	0.911785	0.4152	-0.410663
5.87	0.915846	0.4061	-0.401525
5.88	0.919816	0.397	-0.392347
5.89	0.923693	0.3877	-0.383129
5.9	0.927478	0.3785	-0.373874
5.91	0.931171	0.3693	-0.36458
5.92	0.93477	0.3599	-0.355251
5.93	0.938276	0.3506	-0.345885
5.94	0.941688	0.3412	-0.336486
5.95	0.945005	0.3317	-0.327052
5.96	0.948229	0.3224	-0.317586
5.97	0.951357	0.3128	-0.308088
5.98	0.95439	0.3033	-0.298559
5.99	0.957328	0.2938	-0.289001
6	0.96017	0.2842	-0.279413
6.01	0.962916	0.2746	-0.269798
6.02	0.965566	0.265	-0.260155
6.03	0.968119	0.2553	-0.250487
6.04	0.970576	0.2457	-0.240793
6.05	0.972935	0.2359	-0.231076
6.06	0.975197	0.2262	-0.221335
6.07	0.977362	0.2165	-0.211572
6.08	0.979429	0.2067	-0.201788
6.09	0.981398	0.1969	-0.191984
6.1	0.983268	0.187	-0.182161
6.11	0.985041	0.1773	-0.172319
6.12	0.986715	0.1674	-0.162461
6.13	0.98829	0.1575	-0.152586
6.14	0.989766	0.1476	-0.142695
6.15	0.991144	0.1378	-0.132791
6.16	0.992422	0.1278	-0.122873
6.17	0.993601	0.1179	-0.112943
6.18	0.994681	0.108	-0.103001
6.19	0.995661	0.098	-0.0930497
6.2	0.996542	0.0881	-0.0830887
6.21	0.997323	0.0781	-0.0731194
6.22	0.998004	0.0681	-0.0631428
6.23	0.998586	0.0582	-0.0531598
6.24	0.999068	0.0482	-0.0431715
6.25	0.999449	0.0381	-0.033179
6.26	0.999731	0.0282	-0.0231831
6.27	0.999913	0.0182	-0.0131848
6.28	0.999995	0.0082	-0.0031853
6.29	0.999977	-0.0018	0.00681456
6.3	0.999859	-0.0118	0.0168137
6.31	0.999641	-0.0218	0.0268112
6.32	0.999322	-0.0319	0.0368061
6.33	0.998904	-0.0418	0.0467972
6.34	0.998386	-0.0518	0.0567836
6.35	0.997769	-0.0617	0.0667644
6.36	0.997051	-0.0718	0.0767385
6.37	0.996234	-0.0817	0.0867049
6.38	0.995317	-0.0917	0.0966627
6.39	0.994301	-0.1016	0.106611
6.4	0.993185	-0.1116	0.116548
6.41	0.99197	-0.1215	0.126474
6.42	0.990655	-0.1315	0.136387
6.43	0.989242	-0.1413	0.146287
6.44	0.98773	-0.1512	0.156171
6.45	0.986119	-0.1611	0.166041
6.46	0.984409	-0.171	0.175893
6.47	0.982601	-0.1808	0.185728
6.48	0.980694	-0.1907	0.195545
6.49	0.97869	-0.2004	0.205342
6.5	0.976588	-0.2102	0.215118
6.51	0.974388	-0.22	0.224873
6.52	0.97209	-0.2298	0.234605
6.53	0.969696	-0.2394	0.244314
6.54	0.967204	-0.2492	0.253999
6.55	0.964616	-0.2588	0.263658
6.56	0.961931	-0.2685	0.273291
6.57	0.95915	-0.2781	0.282896
6.58	0.956273	-0.2877	0.292473
6.59	0.9533	-0.2973	0.302021
6.6	0.950233	-0.3067	0.311539
6.61	0.94707	-0.3163	0.321025
6.62	0.943812	-0.3258	0.33048
6.63	0.94046	-0.3352	0.339901
6.64	0.937014	-0.3446	0.349288
6.65	0.933474	-0.354	0.358641
6.66	0.929841	-0.3633	0.367957
6.67	0.926115	-0.3726	0.377237
6.68	0.922297	-0.3818	0.386479
6.69	0.918386	-0.3911	0.395683
6.7	0.914383	-0.4003	0.404847
6.71	0.910289	-0.4094	0.41397
6.72	0.906104	-0.4185	0.423052
6.73	0.901828	-0.4276	0.432092
6.74	0.897462	-0.4366	0.441088
6.75	0.893006	-0.4456	0.45004
6.76	0.888461	-0.4545	0.458948
6.77	0.883827	-0.4634	0.467809
6.78	0.879105	-0.4722	0.476624
6.79	0.874295	-0.481	0.485391
6.8	0.869397	-0.4898	0.494109
6.81	0.864413	-0.4984	0.502778
