0.0005594	
r	f(e,r)	Exact
0.213	0.171815	0.172137
0.214	0.172449	0.172773
0.215	0.173083	0.173406
0.216	0.173714	0.174039
0.217	0.174345	0.17467
0.218	0.174974	0.175299
0.219	0.175601	0.175927
0.22	0.176227	0.176554
0.221	0.176851	0.177179
0.222	0.177474	0.177803
0.223	0.178095	0.178426
0.224	0.178715	0.179047
0.225	0.179334	0.179666
0.226	0.179951	0.180284
0.227	0.180566	0.180901
0.228	0.181181	0.181516
0.229	0.181795	0.18213
0.23	0.182407	0.182743
0.231	0.183017	0.183354
0.232	0.183627	0.183964
0.233	0.184235	0.184572
0.234	0.184841	0.185179
0.235	0.185446	0.185784
0.236	0.186049	0.186388
0.237	0.186652	0.186991
0.238	0.187252	0.187592
0.239	0.187851	0.188192
0.24	0.188449	0.188791
0.241	0.189046	0.189388
0.242	0.189641	0.189984
0.243	0.190234	0.190578
0.244	0.190826	0.191171
0.245	0.191416	0.191763
0.246	0.192006	0.192353
0.247	0.192594	0.192942
0.248	0.193181	0.193529
0.249	0.193767	0.194115
0.25	0.194351	0.1947
0.251	0.194934	0.195284
0.252	0.195516	0.195866
0.253	0.196096	0.196446
0.254	0.196675	0.197026
0.255	0.197253	0.197604
0.256	0.197829	0.19818
0.257	0.198404	0.198756
0.258	0.198977	0.19933
0.259	0.199549	0.199902
0.26	0.20012	0.200473
0.261	0.200689	0.201043
0.262	0.201256	0.201612
0.263	0.201823	0.202179
0.264	0.202388	0.202745
0.265	0.202951	0.20331
0.266	0.203514	0.203873
0.267	0.204075	0.204435
0.268	0.204636	0.204995
0.269	0.205195	0.205555
0.27	0.205752	0.206112
0.271	0.206309	0.206669
0.272	0.206864	0.207224
0.273	0.207417	0.207778
0.274	0.207969	0.208331
0.275	0.20852	0.208882
0.276	0.20907	0.209432
0.277	0.209618	0.209981
0.278	0.210165	0.210529
0.279	0.21071	0.211075
0.28	0.211254	0.211619
0.281	0.211797	0.212163
0.282	0.212339	0.212705
0.283	0.212878	0.213246
0.284	0.213417	0.213786
0.285	0.213955	0.214324
0.286	0.214492	0.214861
0.287	0.215028	0.215397
0.288	0.215562	0.215931
0.289	0.216095	0.216465
0.29	0.216627	0.216996
0.291	0.217157	0.217527
0.292	0.217686	0.218056
0.293	0.218214	0.218584
0.294	0.21874	0.219111
0.295	0.219265	0.219637
0.296	0.219789	0.220161
0.297	0.220311	0.220684
0.298	0.220832	0.221206
0.299	0.221352	0.221726
0.3	0.22187	0.222245
0.301	0.222388	0.222763
0.302	0.222903	0.22328
0.303	0.223419	0.223796
0.304	0.223933	0.22431
0.305	0.224445	0.224823
0.306	0.224957	0.225334
0.307	0.225467	0.225845
0.308	0.225976	0.226354
0.309	0.226484	0.226862
0.31	0.22699	0.227369
0.311	0.227495	0.227874
0.312	0.227999	0.228378
0.313	0.228501	0.228881
0.314	0.229003	0.229383
0.315	0.229503	0.229883
0.316	0.230002	0.230383
0.317	0.230499	0.230881
0.318	0.230995	0.231378
0.319	0.23149	0.231873
0.32	0.231983	0.232368
0.321	0.232476	0.232861
0.322	0.232968	0.233353
0.323	0.233459	0.233844
0.324	0.233948	0.234333
0.325	0.234436	0.234821
0.326	0.234923	0.235308
0.327	0.235409	0.235794
0.328	0.235893	0.236279
0.329	0.236377	0.236763
0.33	0.236858	0.237245
0.331	0.237339	0.237726
0.332	0.237819	0.238206
0.333	0.238297	0.238684
0.334	0.238774	0.239162
0.335	0.239249	0.239638
0.336	0.239724	0.240113
0.337	0.240197	0.240587
0.338	0.240669	0.24106
0.339	0.241141	0.241532
0.34	0.241611	0.242002
0.341	0.24208	0.242471
0.342	0.242548	0.242939
0.343	0.243014	0.243406
0.344	0.24348	0.243872
0.345	0.243944	0.244336
0.346	0.244407	0.244799
0.347	0.244869	0.245261
0.348	0.24533	0.245722
0.349	0.245789	0.246182
0.35	0.246247	0.246641
0.351	0.246704	0.247098
0.352	0.24716	0.247555
0.353	0.247615	0.24801
0.354	0.248068	0.248464
0.355	0.24852	0.248917
0.356	0.248972	0.249368
0.357	0.249422	0.249819
0.358	0.249871	0.250268
0.359	0.250319	0.250716
0.36	0.250766	0.251163
0.361	0.251212	0.251609
0.362	0.251657	0.252054
0.363	0.2521	0.252498
0.364	0.252543	0.25294
0.365	0.252984	0.253382
0.366	0.253424	0.253822
0.367	0.253863	0.254261
0.368	0.2543	0.254699
0.369	0.254737	0.255136
0.37	0.255172	0.255572
0.371	0.255606	0.256006
0.372	0.256039	0.25644
0.373	0.25647	0.256872
0.374	0.256902	0.257303
0.375	0.257332	0.257733
0.376	0.257761	0.258162
0.377	0.258188	0.25859
0.378	0.258615	0.259017
0.379	0.259041	0.259443
0.38	0.259465	0.259867
0.381	0.259888	0.260291
0.382	0.26031	0.260713
0.383	0.260731	0.261134
0.384	0.261151	0.261554
0.385	0.26157	0.261973
0.386	0.261987	0.262391
0.387	0.262404	0.262808
0.388	0.262819	0.263224
0.389	0.263233	0.263639
0.39	0.263646	0.264052
0.391	0.264058	0.264465
0.392	0.26447	0.264876
0.393	0.26488	0.265286
0.394	0.265289	0.265695
0.395	0.265697	0.266104
0.396	0.266104	0.266511
0.397	0.26651	0.266917
0.398	0.266915	0.267321
0.399	0.267318	0.267725
0.4	0.267721	0.268128
0.401	0.268122	0.26853
0.402	0.268523	0.26893
0.403	0.268922	0.26933
0.404	0.26932	0.269728
0.405	0.269717	0.270126
0.406	0.270113	0.270522
0.407	0.270507	0.270917
0.408	0.270901	0.271311
0.409	0.271294	0.271705
0.41	0.271686	0.272097
0.411	0.272077	0.272488
0.412	0.272467	0.272878
0.413	0.272856	0.273267
0.414	0.273244	0.273654
0.415	0.273631	0.274041
0.416	0.274016	0.274427
0.417	0.274401	0.274812
0.418	0.274784	0.275195
0.419	0.275167	0.275578
0.42	0.275548	0.27596
0.421	0.275928	0.27634
0.422	0.276307	0.27672
0.423	0.276685	0.277098
0.424	0.277062	0.277476
0.425	0.277439	0.277852
0.426	0.277814	0.278228
0.427	0.278188	0.278602
0.428	0.278562	0.278975
0.429	0.278934	0.279348
0.43	0.279305	0.279719
0.431	0.279676	0.280089
0.432	0.280045	0.280458
0.433	0.280413	0.280827
0.434	0.28078	0.281194
0.435	0.281146	0.28156
0.436	0.281511	0.281925
0.437	0.281875	0.28229
0.438	0.282238	0.282653
0.439	0.282599	0.283015
0.44	0.28296	0.283376
0.441	0.28332	0.283736
0.442	0.283679	0.284095
0.443	0.284037	0.284453
0.444	0.284394	0.284811
0.445	0.28475	0.285167
0.446	0.285106	0.285522
0.447	0.28546	0.285876
0.448	0.285813	0.286229
0.449	0.286165	0.286581
0.45	0.286516	0.286933
0.451	0.286866	0.287283
0.452	0.287215	0.287632
0.453	0.287563	0.28798
0.454	0.28791	0.288328
0.455	0.288256	0.288674
0.456	0.288601	0.289019
0.457	0.288945	0.289363
0.458	0.289288	0.289707
0.459	0.28963	0.290049
0.46	0.289971	0.29039
0.461	0.290312	0.290731
