rmax	iter
2	99
2.1	101
2.2	103
2.3	105
2.4	107
2.5	109
2.6	110
2.7	112
2.8	113
2.9	115
3	117
3.1	119
3.2	120
3.3	122
3.4	124
3.5	126
3.6	128
3.7	131
3.8	133
3.9	135
4	138
4.1	141
4.2	140
4.3	142
4.4	145
4.5	147
4.6	149
4.7	151
4.8	153
4.9	155
5	157
5.1	160
5.2	163
5.3	161
5.4	163
5.5	164
5.6	166
5.7	168
5.8	170
5.9	172
6	174
6.1	176
6.2	179
6.3	182
6.4	178
6.5	179
6.6	181
6.7	182
6.8	184
6.9	185
7	187
7.1	189
7.2	191
7.3	194
7.4	197
7.5	201
7.6	193
7.7	194
7.8	195
7.9	197
8	198
8.1	199
8.2	200
8.3	202
8.4	205
8.5	208
8.6	211
8.7	215
8.8	220
8.9	207
9	207
9.1	208
9.2	209
9.3	210
9.4	212
9.5	213
9.6	215
9.7	217
9.8	220
9.9	224
10	228
