0	0	1	0
0.216662	0.211596	0.930045	0.0231964
0.433323	0.393273	0.725628	0.0895231
0.649985	0.517448	0.402739	0.189447
0.866646	0.561055	-0.0131386	0.307911
1.08331	0.507431	-0.488707	0.425524
1.29997	0.347779	-0.985057	0.520114
1.51663	0.0821087	-1.46027	0.568546
1.73329	-0.280416	-1.87224	0.548677
1.94995	-0.721752	-2.1816	0.441324
2.16662	-1.21588	-2.35447	0.232097
2.38328	-1.73025	-2.36497	-0.0870171
2.59994	-2.22778	-2.19727	-0.516449
2.8166	-2.66916	-1.847	-1.04831
3.03326	-3.01548	-1.32209	-1.66618
3.24992	-3.23087	-0.642759	-2.34552
3.46658	-3.28512	0.159233	-3.05454
3.68325	-3.15602	1.04205	-3.75577
3.89991	-2.83132	1.95597	-4.40796
4.11657	-2.31017	2.84605	-4.96843
4.33323	-1.60389	3.65533	-5.39561
4.54989	-0.736091	4.32817	-5.65174
4.76655	0.258056	4.8137	-5.70542
4.98322	1.33315	5.06911	-5.53405
5.19988	2.43567	5.06256	-5.12575
5.41654	3.50659	4.77567	-4.48089
5.6332	4.48455	4.20516	-3.61297
5.84986	5.30919	3.36387	-2.54872
6.06652	5.92469	2.28074	-1.3275
6.28319	6.28319	1	-1.55431e-15
