0.1	4.97205e+06	1.01786e+06	10088.9	
0.288482	4.91847e+06	1.05194e+06	29592.3	
0.568814	4.83661e+06	1.10359e+06	59797.6	
0.928885	4.7278e+06	1.17145e+06	100742	
1.35193	4.59501e+06	1.25298e+06	152004	
1.82377	4.44113e+06	1.34558e+06	213291	
2.33568	4.26817e+06	1.44707e+06	284759	
2.88427	4.07716e+06	1.55571e+06	367130	
3.46948	3.86872e+06	1.66974e+06	461542	
4.08931	3.64498e+06	1.7863e+06	568723	
4.73087	3.41291e+06	1.9e+06	687094	
5.36775	3.18486e+06	2.00359e+06	811553	
5.93007	2.98757e+06	2.08577e+06	926656	
6.43525	2.81498e+06	2.15124e+06	1.03378e+06	
6.92172	2.65389e+06	2.20624e+06	1.13987e+06	
7.38591	2.50558e+06	2.25102e+06	1.24341e+06	
7.8292	2.36935e+06	2.28659e+06	1.34406e+06	
8.25516	2.24378e+06	2.31411e+06	1.44211e+06	
8.66792	2.12728e+06	2.3346e+06	1.53812e+06	
9.07154	2.01843e+06	2.34887e+06	1.63269e+06	
9.46966	1.91605e+06	2.35752e+06	1.72643e+06	
9.86555	1.81915e+06	2.36096e+06	1.81988e+06	
10.2621	1.72697e+06	2.3595e+06	1.91353e+06	
10.662	1.63889e+06	2.3533e+06	2.00781e+06	
11.0677	1.55442e+06	2.34247e+06	2.10311e+06	
11.4817	1.47317e+06	2.32703e+06	2.1998e+06	
11.9062	1.39483e+06	2.30695e+06	2.29822e+06	
12.3439	1.31916e+06	2.28215e+06	2.39868e+06	
12.7972	1.24597e+06	2.25252e+06	2.5015e+06	
13.2689	1.17512e+06	2.2179e+06	2.60698e+06	
13.7619	1.10648e+06	2.17811e+06	2.7154e+06	
14.2795	1.04002e+06	2.13296e+06	2.82703e+06	
14.8252	975695	2.08223e+06	2.94207e+06	
15.4026	913539	2.02576e+06	3.0607e+06	
16.0154	853618	1.9634e+06	3.18298e+06	
16.6677	796054	1.8951e+06	3.30884e+06	
17.3628	741013	1.82096e+06	3.43803e+06	
18.1039	688705	1.74126e+06	3.57004e+06	
18.8933	639357	1.65651e+06	3.70413e+06	
19.7321	593189	1.56748e+06	3.83933e+06	
20.6208	550373	1.47514e+06	3.97448e+06	
21.5592	511002	1.3806e+06	4.1084e+06	
22.5469	475073	1.28499e+06	4.23994e+06	
23.5842	442488	1.18937e+06	4.36814e+06	
24.6723	413076	1.09467e+06	4.49225e+06	
25.8138	386613	1.00167e+06	4.61171e+06	
27.0127	362853	910995	4.72615e+06	
28.2747	341548	823126	4.83533e+06	
29.6071	322461	738459	4.93908e+06	
31.0193	305372	657312	5.03732e+06	
32.5224	290087	579958	5.12996e+06	
34.1304	276434	506642	5.21692e+06	
35.8601	264265	437594	5.29814e+06	
37.7321	253451	373033	5.37352e+06	
39.7719	243882	313177	5.44294e+06	
42.0118	235465	258237	5.5063e+06	
44.4929	228120	208420	5.56346e+06	
47.2687	221781	163919	5.6143e+06	
50.4105	216387	124904	5.65871e+06	
54.016	211889	91511	5.6966e+06	
58.2223	208238	63812.1	5.72795e+06	
63.2292	205386	41787.9	5.75283e+06	
69.339	203276	25275.7	5.77145e+06	
77.0311	201837	13905.3	5.78426e+06	
87.1036	200973	7026.93	5.792e+06	
100	200541	3586.91	5.79587e+06	
